,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
5836369,2016-07-09-007298,"Castile was black, and gun ownership in America -- down to the NRA's messaging -- was historically built on a sense of white identity,",German Lopez,['Q3104266'],2016-07-09 13:36:35,1,"[['German Lopez', '0.7737'], ['None', '0.2214'], ['Philando Castile', '0.0049']]",['http://bearingarms.com/jenn-j/2016/07/09/mn-officer-involved-shooting-investigation-uncovers-explosive-evidence/'],E
5838280,2016-07-28-052910,"In the aftermath of the Orlando shooting that left 49 people dead and a country in mourning, the attorney general has acted within her authority to stop the sale of illegal assault weapons in Massachusetts and give our residents the full protection of our laws,",None,[],2016-07-28 19:16:12,1,"[['None', '0.9486'], ['Maura Healey', '0.0514']]",['http://www.masslive.com/politics/index.ssf/2016/07/former_massachusetts_attorneys.html'],E
5842428,2016-12-08-000157,"[ b ] ased on the data presented, it is difficult to disentangle the effects of the prevalence of gun ownership, background check laws, or other laws not directly examined, such as laws requiring permits to purchase guns that come with additional requirements beyond background checks.",Daniel Webster,"['Q1163099', 'Q22047723']",2016-12-08 19:47:54,3,"[['Daniel Webster', '0.5949'], ['None', '0.2312'], ['Bindu Kalesan', '0.1739']]","['http://feeds.businessinsider.com.au/~/240704748/0/businessinsideraustralia~States-with-stricter-gun-control-and-higher-mental-health-expenditure-have-fewer-school-shootings-study-finds', 'http://www.businessinsider.com.au/study-states-with-stricter-gun-control-have-fewer-school-shootings-2016-12#comments', 'http://businessinsider.my/study-states-with-stricter-gun-control-have-fewer-school-shootings-2016-12/#comment-']",E
5842875,2016-12-06-009397,"Association Between Gun Law Reforms and Intentional Firearm Deaths in Australia, 1979-2013,",None,[],2016-12-06 00:00:00,1,"[['None', '0.6559'], ['Simon Chapman', '0.1919'], ['Michael Jones', '0.1522']]",['http://jama.jamanetwork.com/article.aspx?articleid=2589327'],E
5851169,2016-07-11-034124,I spent less than 20 minutes outside. Five of those minutes were spent enjoying the game. One of those minutes I spent trying to look as pleasant and nonthreatening as possible as I walked past a somewhat visibly disturbed white woman on her way to the bus stop. I spent the other 14 minutes being distracted from the game by thoughts of the countless Black Men who have had the police called on them because they looked `suspicious' or wondering what a second amendment exercising individual might do if I walked past their window a 3rd or 4th time in search of a Jigglypuff.,None,[],2016-07-11 00:00:00,56,"[['None', '0.5917'], ['Philando Castile', '0.3242'], ['Alton Sterling', '0.0841']]","['http://apr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://delmarvapublicradio.net/post/pokemon-go-catching-us-all-unexpected-ways', 'http://ijpr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://kalw.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://kenw.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://kgou.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://krcu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://krwg.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://ksmu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://kuer.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://kunm.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://mtpr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://news.wfsu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://news.wgcu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://nhpr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://northernpublicradio.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://peconicpublicbroadcasting.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://ripr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://tpr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://ualrpublicradio.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://upr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wboi.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wcbe.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wdiy.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wesm913.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wfae.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wkar.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wknofm.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wksu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wmot.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wncw.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wrvo.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wshu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wunc.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wutc.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wvpublic.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wvtf.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wvxu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://www.kbia.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://www.kplu.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://www.npr.org/sections/alltechconsidered/2016/07/11/485551781/pokemon-go-is-catching-us-all-in-unexpected-ways?ft=nprml&f=', 'http://www.npr.org/sections/alltechconsidered/2016/07/11/485551781/pokemon-go-is-catching-us-all-in-unexpected-ways?utm_medium=RSS&utm_campaign=business', 'http://www.npr.org/sections/alltechconsidered/2016/07/11/485551781/pokemon-go-is-catching-us-all-in-unexpected-ways?utm_medium=RSS&utm_campaign=news', 'http://www.npr.org/sections/alltechconsidered/2016/07/11/485551781/pokemon-go-is-catching-us-all-in-unexpected-ways?utm_medium=RSS&utm_campaign=storiesfromnpr', 'http://www.npr.org/sections/alltechconsidered/2016/07/11/485551781/pokemon-go-is-catching-us-all-in-unexpected-ways?utm_medium=RSS&utm_campaign=technology', 'http://www.wabe.org/post/pokemon-go-catching-us-all-unexpected-ways/', 'http://wxpr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wypr.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wyso.org/post/pokemon-go-catching-us-all-unexpected-ways', 'http://wbez.org/shows/npr/pokemon-go-is-catching-us-all-in-unexpected-ways/e9cd42a7-34b5-4b72-a398-f49cc0230020', 'http://wgbhnews.org/2016/07/12/news/pokemon-go-catching-us-all-unexpected-ways', 'http://wgbhnews.org/2016/07/12/pokemon-go-catching-us-all-unexpected-ways', 'http://capradio.org/news/npr/story?storyid=485551781', 'http://www.wpr.org/pokemon-go-catching-us-all-—-unexpected-ways', 'http://wamu.org/news/16/07/11/pokemon_go_is_catching_us_all_in_unexpected_ways', 'http://www.ktoo.org/2016/07/11/pokemon-go-catching-us-unexpected-ways/']",E
5851669,2016-02-18-057397,"I'm a law-abiding, responsible gun owner. I like concealed carry, and don't plan to open carry if it becomes legal, however I don't oppose it, and am in support of it. One issue that may be overlooked is that by allowing OC to those with CC permits, you protect the CC person from arrest, harassment and prosecution from a brief, inadvertent or accidental showing of their weapon. A circumstance beyond normal control might occur, a gust of wind blows a shirt up, etc.. Accidental showing like this should be a non-issue, however to make it so, open carry seems to be the sure-fire way to do it. It prevents open-to-interpretation-type ordinances from being used, perhaps abusively.",Christopher Britton,['Q5111987'],2016-02-18 11:51:36,4,"[['Christopher Britton', '0.8139'], ['None', '0.1572'], ['Jim Russell', '0.029']]","['http://ocala.com/article/20160218/COLUMNISTS/160219774?Title=Someone-help-me-tackle-this-quandary', 'http://ocala.com/article/20160218/COLUMNISTS/160219774/-1/specialsection05?Title=Someone-help-me-tackle-this-quandary']",E
5853369,2016-08-24-093891,"Sneering Sleaze Trump is making a speech this afternoon to that gun lobby group, Tommy-Guns for All.",Hillary Clinton,['Q6294'],2016-08-24 01:00:00,1,"[['Hillary Clinton', '0.4616'], ['None', '0.3177'], ['John Edward', '0.1389'], ['Donald Trump', '0.0817']]",['http://www.csindy.com/coloradosprings/coloradocare-donald-trump-palmer-park-improvements-and-more/Content?oid=3993170'],E
5861586,2016-04-21-127432,"We always hear from the left on gun control that if it will save just one person, then we should do it. If this would just save one little girl from being molested by a heterosexual pervert, we should do it,",Glenn Beck,"['Q21213245', 'Q310618']",2016-04-21 16:58:50,2,"[['Glenn Beck', '0.4168'], ['None', '0.404'], ['Rafael Cruz', '0.1293'], ['Ted Cruz', '0.0377'], ['Curt Schilling', '0.0122']]","['http://www.politico.eu/article/donald-trump-ted-cruz-north-carolina-transgender-bathroom-battle-rocks-republican-race/', 'http://gospelherald.com/articles/63702/20160422/ted-cruz-slams-espn-for-firing-curt-schilling-over-transgender-comments-america-is-going-off-the-deep-end.htm']",E
5864997,2016-07-12-042331,"I was in the primary school in Dunblane when that happened, and since then they obviously brought in gun controls.",Andy Murray,"['Q10125', 'Q526811']",2016-07-12 11:15:03,2,"[['Andy Murray', '0.8695'], ['None', '0.0894'], ['Will Smith', '0.0412']]","['http://gantdaily.com/2016/07/12/twenty-years-after-dunblane-andy-murray-pleads-for-end-to-gun-violence/', 'http://www.cnn.com/2016/07/12/tennis/andy-murray-wimbledon-gun-violence-nba-lebron-james-barack-obama/index.html']",E
5866244,2016-05-26-073239,"Meeting with all Hibakusha who are able to attend Announcing the end of U.S. plans to spend $1 trillion for the new generation of nuclear weapons and their delivery systems Reinvigorating nuclear disarmament negotiations to go beyond New START by announcing the unilateral reduction of the deployed U.S. arsenal to 1,000 nuclear weapons or fewer Calling on Russia to join with the United States in convening the `good faith negotiations' required by the Nuclear Non-Proliferation Treaty for the complete elimination of the world's nuclear arsenals. Reconsidering your refusal to apologize or discuss the history surrounding the A-bombings, which even President Eisenhower, Generals MacArthur, King, Arnold, and LeMay and Admirals Leahy and Nimitz stated were not necessary to end the war.",Barack Obama,['Q76'],2016-05-26 00:00:00,1,"[['Barack Obama', '0.4895'], ['Peter Kuznick', '0.2995'], ['None', '0.1316'], ['Josh Earnest', '0.0794']]",['http://www.opednews.com/articles/Looking-Forward-Comes-to-by-David-Swanson-History_History_Peace_Peace-160526-397.html'],E
5867126,2016-09-15-100398,stop the assault on Second Amendment rights.,Jared Polis,['Q935734'],2016-09-15 20:48:56,1,"[['Jared Polis', '0.5509'], ['None', '0.3352'], ['Richard Longstreth', '0.1139']]",['http://coloradoan.com/story/news/2016/09/15/congressional-candidates-want-change-washington/90424546/'],E
5869840,2016-02-13-004356,"And he authored some of the most important decisions ever, including District of Columbia v. Heller, which recognized our fundamental right under the Second Amendment to keep and bear arms,",Ted Cruz,['Q2036942'],2016-02-13 22:31:29,8,"[['Ted Cruz', '0.9059'], ['None', '0.0806'], ['Antonin Scalia', '0.0112'], ['Susan Crabtree', '0.0014'], ['Al Weaver', '9.0E-4']]","['http://thehill.com/blogs/ballot-box/presidential-races/269383-cruz-scalia-changed-the-course-of-legal-history', 'http://washingtonexaminer.com/gop-candidates-mourn-antonin-scalia/article/2583223', 'http://m.washingtonexaminer.com/gop-candidates-mourn-antonin-scalia/article/2583223', 'http://m.washingtonexaminer.com/gop-presidential-candidates-mourn-the-death-of-scalia/article/2583223', 'http://washingtonexaminer.com/gop-presidential-candidates-mourn-the-death-of-scalia/article/2583223', 'http://washingtonexaminer.com/gop-candidates-mourn-the-death-of-antonin-scalia/article/2583223', 'http://washingtonexaminer.com/gop-presidential-candidates-mourn-the-death-of-justice-antonin-scalia/article/2583223', 'http://m.washingtonexaminer.com/gop-presidential-candidates-mourn-the-death-of-justice-antonin-scalia/article/2583223']",E
5869872,2016-08-10-006046,"And speaking of that, remember this: We have so many things that we have to protect in this country -- we have to protect our Second Amendment, which is under siege.",Donald Trump,"['Q22686', 'Q27947481']",2016-08-10 17:21:21,22,"[['Donald Trump', '0.8702'], ['None', '0.1169'], ['Hillary Clinton', '0.0121'], ['President Obama', '8.0E-4']]","['http://theatlantic.com/politics/archive/2016/08/trump-clinton-second-amendment/495386/', 'http://gwinnettdailypost.com/news/world_nation/donald-trump-urges-miners-to-give-it-one-more-chance/article_e2a0f170-73c4-5f7c-b38d-2977a38de838.html', 'http://houstonherald.com/news/politics/donald-trump-urges-miners-to-give-it-one-more-chance/article_4ef876c3-1142-51f3-89f1-9ce8decab964.html#comments', 'http://kpvi.com/news/political/donald-trump-urges-miners-to-give-it-one-more-chance/article_faf60745-d99a-5c18-be48-3bf8d4dcd685.html', 'http://rockdalecitizen.com/news/world_nation/donald-trump-urges-miners-to-give-it-one-more-chance/article_42184ab2-8aca-59dc-9645-f4d70c273b16.html', 'http://6abc.com/news/clinton-responds-to-trumps-2nd-amendment-comments/1464662/', 'http://abc13.com/news/clinton-responds-to-trumps-2nd-amendment-comments/1464662/', 'http://dailyprogress.com/news/politics/in-swva-trump-urges-miners-to-give-it-one-more/article_8f840568-5f41-11e6-b72f-2fe776312f73.html', 'http://roanoke.com/news/politics/in-abingdon-donald-trump-urges-miners-to-give-it-one/article_afc262f9-fa7a-565c-ad8b-4a9e9d2fa870.html', 'http://kwbe.com/abc_politics/clinton-responds-to-trumps-2nd-amendment-comments-words-matter-abcid35751198/', 'http://kticradio.com/abc_politics/clinton-responds-to-trumps-2nd-amendment-comments-words-matter-abcid35751198/', 'http://www.mycentraloregon.com/2016/08/10/clinton-responds-to-trumps-2nd-amendment-comments-words-matter/', 'http://www.wimsradio.com/2016/08/13/six-times-donald-trump-says-hes-been-sarcastic-or-misinterpreted/', 'http://kwbe.com/abc_politics/six-times-donald-trump-says-hes-been-sarcastic-or-misinterpreted-abcid35752627/', 'http://news.yahoo.com/6-times-donald-trump-says-hes-sarcastic-misinterpreted-150900275.html', 'http://www.mycentraloregon.com/2016/08/13/six-times-donald-trump-says-hes-been-sarcastic-or-misinterpreted/', 'http://6abc.com/news/6-times-trump-says-hes-been-sarcastic-or-misinterpreted/1469276/', 'http://abc13.com/news/6-times-trump-says-hes-been-sarcastic-or-misinterpreted/1469276/', 'http://abc30.com/news/6-times-trump-says-hes-been-sarcastic-or-misinterpreted/1469276/', 'http://abc7.com/news/6-times-trump-says-hes-been-sarcastic-or-misinterpreted/1469276/', 'http://abc7news.com/news/6-times-trump-says-hes-been-sarcastic-or-misinterpreted/1469276/']",E
5869986,2016-09-15-010295,"As we have said, we will continue to review our planned modernization program, assess whether there are additional steps to reduce the role of nuclear weapons in our security strategy, and pursue ways to strengthen the global nonproliferation regime further,",Julie Mason,['Q27618917'],2016-09-15 16:02:35,1,"[['Julie Mason', '0.9477'], ['None', '0.051'], ['President Barack Obama', '0.0013']]",['http://dailysignal.com/2016/09/15/3-international-commitments-obama-wants-to-tie-the-us-to-before-leaving-office/'],E
5871570,2016-02-19-043358,"I stay informed on the gun laws, pro or con, because of the threat we have gotten from the anti-gun establishment in the White House,",None,[],2016-02-19 00:00:00,4,"[['None', '0.8845'], ['President Obama', '0.089'], ['Donald Trump', '0.0266']]","['http://thetandd.com/news/gun-control-rhetoric-heightens-as-s-c-primaries-near/article_bf80f2ec-9c49-550d-b4f4-21ef048efd38.html', 'http://thetandd.com/news/gun-control-rhetoric-heightens-as-sc-primaries-near/html_452bbadc-d69e-11e5-85e2-632562ec8227.html', 'http://thetandd.com/news/gun-control-rhetoric-heightens-as-sc-primaries-near/html_452bbadc-d69e-11e5-85e2-632562ec8227.html?comment_form=true#comments', 'http://www.free-times.com/news/s.c.-primaries-bring-heightened-gun-control-rhetoric-022416']",E
5874737,2016-08-16-124731,"They're willing to use terrorist attacks and national tragedies as an excuse to advance that agenda, and now states and local governments are threatening to pass new taxes that will prevent people from buying and owning guns. My bill will end that threat, blocking local lawmakers from using taxes or fees as a way to limit the Second Amendment rights of law-abiding American citizens.",Sam Graves,['Q465638'],2016-08-16 23:03:37,1,"[['Sam Graves', '0.9429'], ['None', '0.0571']]",['http://www.memphisdemocrat.com/sam-graves-to-hold-town-hall-next-tuesday-in-memphis/'],E
5875434,2016-05-10-139588,"We know what's best for our state, and I trust the citizens of Arizona and their elected leaders to continue to make wise decisions to protect our Second Amendment rights, whenever and wherever those rights are infringed.",Doug Ducey,['Q5300433'],2016-05-10 16:57:16,4,"[['Doug Ducey', '0.5411'], ['None', '0.4337'], ['Bob Thorpe', '0.0089'], ['Sylvia Allen', '0.0088'], ['Brenda Barton', '0.0075']]","['http://azcentral.com/story/news/politics/legislature/2016/05/10/gov-doug-ducey-signs-2-gun-bills-vetoes-another/84195278/', 'http://azdailysun.com/news/local/govt-and-politics/ducey-vetoes-multi-state-gun-law-compact/article_fd4994f5-584b-5e0b-b431-e02a1c3ad963.html', 'http://azcapitoltimes.com/news/2016/05/10/ducey-signs-two-gun-bills-vetoes-another/', 'http://yourwestvalley.com/valleyandstate/article_35d8076e-174b-11e6-977a-538cff23275e.html']",E
5876213,2016-07-19-000319,"[ Gov. John Kasich ] could very easily do some kind of executive order [ to ban open carry ] or something. I don't care if it's constitutional or not at this point. They can fight about it after the RNC, or they can lift it after the RNC, but I want him to absolutely outlaw open-carry in Cuyahoga County until this RNC is over.",Stephen Moore,"['Q1410667', 'Q15849215', 'Q2344985', 'Q28168026', 'Q28871848', 'Q57688178', 'Q7610021', 'Q7610023', 'Q7610033']",2016-07-19 16:11:42,1,"[['Stephen Moore', '0.432'], ['None', '0.2871'], ['Hillary Clinton', '0.2808']]",['http://patriotpost.us/digests/43847'],E
5883757,2016-12-09-016393,convince some off-balanced Second Amendment `patriot' to take out a `crooked' media person.,Donald Trump,"['Q22686', 'Q27947481']",2016-12-09 06:00:00,1,"[['Donald Trump', '0.5496'], ['None', '0.3333'], ['Kathleen Parker', '0.1171']]",['http://stltoday.com/news/opinion/mailbag/liberal-point-of-view-is-evident-throughout-paper/article_a4036497-11aa-544f-8eb4-03cdac5a518e.html'],E
5884775,2016-05-27-041973,"I have seen firsthand the more people that hear voices like mine, the more they take personal protection and our second amendment rights seriously.",None,[],2016-05-27 14:50:31,1,"[['None', '0.7953'], ['President Obama', '0.0958'], ['Chris Cox', '0.0569'], ['David Clarke', '0.052']]",['http://bearingarms.com/jenn-j/2016/05/27/guns-in-america-rape-survivor-continues-to-fight-for-gun-rights/'],E
5886428,2016-12-19-054848,"Mr. Campbell was personally violent, and we know he colluded with others to commit gun crimes,",Robert Carney,['Q19956768'],2016-12-19 23:30:45,1,"[['Robert Carney', '0.9609'], ['None', '0.0382'], ['Bruce Campbell', '9.0E-4']]",['http://dailygazette.com/article/2016/12/19/man-found-guilty-for-2015-schenectady-shooting'],E
5887785,2016-08-09-090748,The Second Amendment is trending.,None,[],2016-08-09 16:53:40,1,"[['None', '0.8922'], ['Donald Trump', '0.1078']]",['http://www.cnet.com/news/twitter-explodes-over-trump-second-amendment-joke/#ftag=CADf328eec'],E
5887992,2016-02-14-070432,"There were two places in the country... that still had sweeping bans on handguns. They were Chicago and Washington, D.C.. But the Supreme Court in a pair of cases in 2008 and 2010 threw out those sweeping bans, so no more outright bans on handgun ownership in these places, but still some pretty tight restrictions. It's worth noting... homicide rates for D.C. are at record or near-record lows as of 2012, but Chicago had a sharp spike in murders last year.",Carrie Johnson,"['Q30612227', 'Q5046243']",2016-02-14 15:15:53,1,"[['Carrie Johnson', '0.8912'], ['None', '0.08'], ['Gary Kleck', '0.0146'], ['John Lott', '0.0142']]",['http://www.politifact.com/texas/statements/2013/feb/01/ted-cruz/ted-cruz-says-jurisdictions-strictest-gun-laws-hav/'],E
5889179,2016-09-09-140209,We're not changing the Second Amendment. I will veto that. I will unsign that so fast.,Donald Trump,"['Q22686', 'Q27947481']",2016-09-09 12:30:18,1,"[['Donald Trump', '0.7474'], ['None', '0.206'], ['Barack Obama', '0.0466']]",['http://www.uncommonwisdomdaily.com/an-overreach-of-presidential-power-23246'],E
5890808,2016-04-19-026956,"For years, gun owners have been able to circumvent California's assault weapons law by using a small tool to quickly eject and reload an ammunition magazine,",Steve Glazer,['Q20065043'],2016-04-19 20:07:00,1,"[['Steve Glazer', '0.6395'], ['None', '0.3154'], ['Ed Worley', '0.0451']]",['http://www.latimes.com/politics/la-pol-sac-gun-control-bills-20160419-story.html#nt=oft12aH-5li3'],E
5893723,2016-05-23-068643,"President Obama has made clear his contempt for the Second Amendment,",Chris Cox,"['Q25206337', 'Q4919691', 'Q5106285', 'Q5106287', 'Q5106291']",2016-05-23 07:33:01,11,"[['Chris Cox', '0.8233'], ['None', '0.1637'], ['President Barack Obama', '0.0088'], ['Hillary Clinton', '0.0041']]","['http://www.newsmax.com/Newsfront/clinton-obama-gun-sales/2016/05/23/id/730128', 'http://www.newsmax.com/Finance/StreetTalk/hillary-clinton-barack-obama-guns-sales/2016/05/23/id/730143', 'http://finance.yahoo.com/news/hillary-clinton-could-topple-obamas-090004527.html', 'http://www.newsmax.com/Finance/Economy/hillary-clinton-barack-obama-guns-sales/2016/05/23/id/730143', 'http://www.nola.com/politics/index.ssf/2016/05/hillary_clinton_could_beat_oba.html', ""http://durangoherald.com/article/20160523/AP/305239828/Hillary-Clinton-could-topple-Obama's-record-for-revving-gun-sales"", 'http://courier-tribune.com/news/national/hillary-could-topple-obama-s-record-revving-gun-sales', ""http://heraldnet.com/article/20160523/NEWS02/160529667/Hillary-Clinton-could-topple-Obama's-record-for-revving-gun-sales"", 'http://mitchellrepublic.com/news/nation/4039038-hillary-clinton-could-topple-obamas-record-revving-gun-sales', 'http://www.sunherald.com/news/article79441077.html#storylink=latest_side', 'http://adn.com/nation-world/2016/5/24/hillary-clinton-could-topple-obamas-record-for-revving-gun-sales/']",E
5898943,2016-08-04-054348,I'm unsure on gun laws in this country these days but I'm fairly sure that carrying a loaded firearm on public land is frowned upon.,James Morris,"['Q1680858', 'Q17612656', 'Q23617803', 'Q27477144', 'Q29643304', 'Q3044686', 'Q3161291', 'Q43124322', 'Q56253551', 'Q580086', 'Q59213486', 'Q6140027', 'Q6140029', 'Q6140031']",2016-08-04 15:16:00,1,"[['James Morris', '0.7874'], ['None', '0.1821'], ['Steve England', '0.0305']]",['http://www.bristolpost.co.uk/phantom-wabbit-poacher-of-stoke-park-taunts-bristol-police-with-sinister-shotgun-cartridge-message/story-29585947-detail/story.html'],E
5899731,2016-08-31-075849,look at the Second Amendment and revisit it.,None,[],2016-08-31 05:36:00,2,"[['None', '0.8044'], ['Daniel Hernandez', '0.1492'], ['Gabrielle Giffords', '0.0465']]","['http://gvnews.com/news/hernandez-gabaldon-to-take-on-ackerley-in-ld-general-election/article_d8eedf7e-6f3c-11e6-b700-038743aee599.html', 'http://nogalesinternational.com/news/gabaldon-hernandez-to-take-on-ackerley-in-ld/article_4e78e660-7080-11e6-935a-cf82f5faa0d6.html']",E
5905939,2016-05-23-047350,It is a moment to reflect on something that he has talked a lot about in his two terms as president -- nuclear non-proliferation and a world that can move towards peaceful security without the arsenals that exist now.,None,[],2016-05-23 02:09:28,2,"[['None', '0.7777'], ['President Barack Obama', '0.2223']]","['http://ca.news.yahoo.com/hiroshima-survivor-looks-back-nuclear-210000877.html?nhp=1', 'http://ca.news.yahoo.com/hiroshima-survivor-looks-back-nuclear-210000740.html?nhp=1']",E
5906510,2016-04-25-058021,"Later that day the premier of Tasmania, Tony Rundle, rang me. Even at that early stage we talked about the possibility of tightening the gun laws,",John Howard,"['Q1467025', 'Q51330', 'Q5670833', 'Q58363217', 'Q6228200', 'Q6236889', 'Q6240028', 'Q6240032', 'Q6240035', 'Q6240041', 'Q6240047']",2016-04-25 02:05:56,33,"[['John Howard', '0.6156'], ['None', '0.3043'], ['Mike Bowers', '0.0801']]","['http://watoday.com.au/nsw/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160424-godwg6.html', 'http://brisbanetimes.com.au/nsw/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160424-godwg6.html', 'http://batemansbaypost.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://batemansbaypost.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://blayneychronicle.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://blayneychronicle.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://cowraguardian.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=4083', 'http://smh.com.au/nsw/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160424-godwg6.html', 'http://bluemountainsgazette.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=4063', 'http://colliemail.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://colliemail.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://eyretribune.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://eyretribune.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://forbesadvocate.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=4096', 'http://hawkesburygazette.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://lakesmail.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://lakesmail.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://manningrivertimes.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://manningrivertimes.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://mudgeeguardian.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=4131', 'http://portlincolntimes.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://theflindersnews.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=12', 'http://theflindersnews.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://transcontinental.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://www.standard.net.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=7', 'http://illawarramercury.com.au/story/3870305/port-arthur-anniversary-i-had-to-do-something-big/?cs=298', 'http://illawarramercury.com.au/story/3870305/port-arthur-anniversary-i-had-to-do-something/?cs=298', 'http://watoday.com.au/national/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160424-godwg6.html', 'http://news.theage.com.au/national/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160424-godwg6.html', 'http://www.smh.com.au/national/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard-20160425-godwg6.html', 'http://www.smh.com.au/national/seizing-the-moment-on-gun-control-changed-australia-john-howard-20160425-godwg6.html', 'http://www.theage.com.au/national/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard-20160425-godwg6.html', 'http://portlincolntimes.com.au/story/3869601/port-arthur-anniversary-seizing-the-moment-on-gun-control-changed-australia-says-john-howard/?cs=4149']",E
